id,likes,date,views,post_text
2442097,238148,2018-05-08 21:59:24,14938131,"Иногда говорят, что Telegram был заблокирован в России, так как “закон есть закон”. Однако Telegram заблокирован в России как раз вопреки главному закону страны – Конституции. Решения судов и законы, противоречащие Конституции, не имеют силы. А это значит, что и сама блокировка Telegram незаконна.   Если бы ФСБ ограничилась запросом информации о нескольких террористах, то ее требование вписывалось бы в рамки Конституции. Однако речь идет о передаче универсальных ключей шифрования с целью последующего бесконтрольного доступа к переписке неограниченного круга лиц. A это – прямое нарушение 23-й статьи Конституции о праве каждого на тайну переписки.  По этой причине юристы из “Агоры” сегодня обжаловали решение Верховного суда России о законности приказа ФСБ. Надеюсь, власти России откажутся от языка неисполнимых ультиматумов, на котором сегодня ведется диалог с технологическими компаниями.  Независимо от этого, мы продолжим борьбу за Telegram в России. История наших предков учит биться до победного конца.   С Днем Победы!"
2431591,25863,2018-05-03 16:05:53,9125848,"Михаил Светов, организатор прошедшего митинга за свободу интернета, объявил конкурс на наиболее вдохновляющую обработку видеоматериалов с митинга. Призовой фонд – 1 биткоин.  #digitalresistance"
2422169,108126,2018-05-01 18:19:57,9873849,
2418560,47789,2018-05-01 13:01:25,8875706,"Наблюдаю, как несмотря на проливной дождь, по Невскому проспекту в данный момент движется огромная колонна, которая скандирует лозунги в защиту свободного интернета. Подобное сочетание природных условий и энергии людей возможно только в Петербурге.   Обновлено: спасибо петербуржцам за стойкость и смелость. #digitalresistance"
2412029,28264,2018-04-30 20:03:43,5960016,"Потрясающая акция в Москве. Более 12,000 человек выступили за свободный интернет. Спасибо каждому, кто нашел время, – мы в Telegram очень ценим эту поддержку.   Поразила пассионарность спикеров – такие речи создают историю стран. https://www.youtube.com/watch?v=D9dPg3ofmyQ  Неважно, прислушаются ли сейчас власти России к голосу общества. Важно, что мы всегда будем продолжать отстаивать те ценности, в которые верим.  Помните: завтра – 1 мая – шествие и митинг в Петербурге."
2407925,88092,2018-04-30 15:12:04,8233580,"Тысячи молодых и прогрессивных людей в данный момент выступают в защиту свободы интернета в Москве. Тысячи еще продолжают подходить.  Это беспрецедентно. Я горжусь тем, что родился в одной стране с этими людьми.   Ваша энергия меняет мир.  #digitalresistance"
2405336,13285,2018-04-30 03:38:33,4014279,"https://youtu.be/FT6TVvAQ5OY  30 апреля (понедельник) в Москве:  13:00 – Сбор по адресу ул. Маши Порываевой, 38.  14:00-15:00 – Шествие от ул. Маши Порываевой, 38, до пр. Академика Сахарова.  15:00-16:00 – Митинг на пр. Академика Сахарова, 9.  Аналогичная акция в Петербурге – 1 мая."
2401719,22055,2018-04-29 17:31:01,10168431,"Видеозапись, присланная сторонниками акции #sundaypaperplane."
2401089,22406,2018-04-29 16:41:44,3999559,"Завтра (30 апреля) в 14:00 в Москве на проспекте Сахарова состоится согласованный митинг за свободу интернета. Это исторический шанс для москвичей выразить общую позицию. Послезавтра может быть уже поздно.  Последние 2 недели мы вели неравный бой с интернет-цензором. Мы делали это ради вас – наших российских пользователей. Однако будущее российского интернета находится, в конечном счете, в ваших руках.   Кто-то скажет, что митинг ничего не изменит. Это не так. Россия находится на перепутье – полномасштабная цензура еще не была введена. Если бездействовать, Россия потеряет Telegram и другие популярные сервисы. Ваше активное участие может поменять ход истории."
2389655,49207,2018-04-27 17:17:39,4949332,https://www.youtube.com/watch?v=FCbPGhUxDiQ (при просмотре нужно включить русские субтитры)
2382822,38754,2018-04-26 19:58:00,6104359,"11-й день продолжаются попытки блокировать Telegram на территории России. Многие спрашивают, возможен ли был некий компромисс. Думаю, что едва ли.  Ключи для расшифровки переписки всех своих пользователей ни Telegram, ни другие мессенджеры, не могли бы выдать при всем желании. Это обусловлено техническими особенностями шифрования в 2018 году.  Даже если бы запрос ФСБ ограничивался помощью в поимке 6 террористов, участвовавших в теракте в Петербурге, мы вряд ли могли быть полезны: часть интересующих ФСБ мобильных номеров никогда не имели аккаунта в Telegram, другая их часть была автоматически удалена за неактивностью еще в прошлом году.   Впрочем, согласно материалам дела, ставшим доступными Republic.ru в октябре, для координации теракта в большей степени использовался не Telegram, а WhatsApp."
2358781,49001,2018-04-23 02:47:51,6192836,"Эту неделю мы боролись не с Роскомнадзором или ФСБ. Мы боролись за цифровое будущее России. Свободный интернет и оконечное шифрование – неотъемлемые части этого будущего.   Ни одна развитая страна не блокирует мессенджеры за отказ выдать спецслужбам ключи шифрования. Отмена права на конфиденциальность – лекарство, которое опаснее самой болезни.   Как только некая служба получает возможность бесконтрольно мониторить личную переписку граждан, очень скоро этот доступ оказывается в руках у третьих сторон – взяткодателей, хакеров, агентов других государств. В результате требование предоставить универсальные пути обхода шифрования через выдачу “ключей” снижает информационную безопасность как элит, так и общества в целом.  P. S. Если у Вас есть инсайды о причинах, планах и методах блокировки, сообщайте нам по адресу arequest2@gmail.com."
2358485,39391,2018-04-23 02:25:51,8896339,"Огромное спасибо жителям десятков городов России за поддержку свободного интернета.   Видеоролики с прошедшей акции предлагаю выкладывать под хэштегом #sundaypaperplane во всех соцсетях.  Следующий раз? Воскресенье, 29 апреля в 19:00 по местному времени."
2348522,91258,2018-04-22 16:05:46,5939441,"Мы продержались 7 дней под самым масштабным актом интернет-цензуры за историю России.  Всех, кто поддерживает свободный интернет, призываем запустить из окна бумажный самолетик сегодня ровно в 7 вечера по местному времени.  Через час после акции имеет смысл устроить небольшой субботник – собрать те самолетики, которые Вы найдете у Вашего дома.   Спасибо за поддержку. Эта неделя останется в истории."
2331162,88784,2018-04-19 17:16:22,6719939,"Telegram продолжает оставаться доступным российским пользователям, несмотря на блокировку властями РФ более 18 миллионов IP-адресов за последние 4 дня.   Спасибо всем, кто участвует в Цифровом Сопротивлении. Все больше IT-предпринимателей, программистов, системных администраторов делом помогают обеспечивать гарантированные Конституцией права россиян."
2307813,173187,2018-04-17 16:17:18,8409074,"Спасибо за поддержку и преданность Telegram – вместе нам удалось пережить первые 24 часа блокировки.  Как показали последние сутки, в своей войне с прогрессом надзорные органы России готовы блокировать миллионы IP-адресов облачных хостингов, не считаясь с потерями посторонних проектов.   Помимо этого, власти России борются и с независимыми сервисами proxy/VPN, многие из которых перестают работать (если это произошло, отключите прокси в настройках Telegram и попробуйте найти другой).  Хотя российский рынок не составляет существенной доли пользовательской базы Telegram, он важен нам по личным соображениям.   В рамках Цифрового Сопротивления – децентрализованного движения в защиту цифровых свобод и прогресса – я начал выплачивать биткоин-гранты администраторам proxy и vpn. В течение этого года буду рад пожертвовать миллионы долларов личных средств на эти цели. Призываю всех присоединяться и участвовать – настройкой прокси/vpn серверов или их финансированием."
2296940,160787,2018-04-16 15:20:33,7968841,"Сегодня утром власти России начали блокировать Telegram, поэтому на некоторых операторах связи сервис может работать нестабильно. Последствия блокировки:   1. Качество жизни 15 миллионов россиян ухудшится, так как Telegram без VPN может быть временами недоступен.   2. Террористическая угроза в России останется на прежнем уровне, так как экстремисты продолжат пользоваться шифрованными каналами связи – в других мессенджерах, либо через VPN.  3. Национальная безопасность России снизится, так как часть личных данных россиян перейдет из нейтральной к РФ площадки в контролируемые из США WhatsApp/Facebook.   Мы считаем решение о блокировке антиконституционным и продолжим отстаивать право на тайну переписки россиян. ✊🏼"
2285269,107059,2018-04-13 14:34:58,7942050,"Таганский суд Москвы вынес решение о блокировке Telegram на территории РФ. Что стоит иметь в виду пользователям:  1. Telegram будет использовать встроенные методы обхода блокировок, которые не требуют действий от пользователей, однако 100%-ая доступность сервиса без VPN не гарантирована. 2. В первые часы блокировки сторонние VPN/Proxy-сервисы могут быть перегружены и с большой вероятностью будут работать медленно. 3. Независимо от наличия блокировки, Telegram сохранит возможность централизованно рассылать уведомления всем российским пользователям, информируя о развитии ситуации.   Важно: не удаляйте и не переустанавливайте Telegram при возникновении проблем со связью. Старайтесь своевременно скачивать обновления Telegram в AppStore или Google Play.  💪"
2236210,16600,2018-02-25 12:08:31,3433877,
2083400,42031,2017-10-27 02:04:03,5971653,"Советник Президента России по вопросам развития интернета заявил о том, что Telegram якобы игнорирует запросы от российских государственных органов, но сотрудничает с властями других стран, например, Индонезии.  Это не так: уровень сотрудничества Telegram с властями не зависит от юрисдикции и везде строится на одних и тех же принципах. В отличие от своих российских коллег, индонезийские государственные службы не требовали от нас доступа к личной переписке.    Во всем мире, включая Россию, Telegram обрабатывает запросы на удаление публично доступного противоправного контента, содержащего пропаганду терроризма, детскую порнографию и т. д. Вместе с тем, ни в одной стране мы не выдаем личные данные пользователей государственным органам.   Хотя весомая доля аудитории Telegram приходится на более консервативные страны, чем Россия, только в России Telegram был оштрафован за непредоставление ключей шифрования сообщений. Это единственный подобный прецедент за 4 года работы Telegram на глобальном рынке."
2065991,38632,2017-10-17 17:02:14,5726616,"В результате моего вчерашнего обращения мы получили около двухсот предложений от юристов, готовых представлять Telegram в деле против ФСБ.  Среди них – немало известных команд с большим опытом. Приятно, что многие готовы защищать Telegram и право на тайну переписки безвозмездно, по идейным соображениям.  Благодарю всех за такой живой отклик. Я решил принять предложение Павла Чикова, руководителя международной правозащитной организации “Агора”.   “Агора” – команда из 30 адвокатов, которые с начала 2000х защищают права человека в России. Они имеют опыт в делах против ФСБ и ежегодно публикуют доклады о свободе интернета в России https://meduza.io/static/0001/Agora_Report_2017_Internet.pdf и слежке за интернет-пользователями https://republic.ru/uploads/Россия-под-наблюдением-2017_final%20(1).pdf.  Уверен, что команда Павла сможет успешно представлять Telegram в российских судах, защищая право россиян на тайну личной переписки. Спасибо Павлу – и всем остальным, кто откликнулся."
